investment_horizon,risk_appetite,volatility,momentum,trend,expected_return
12,0,0.010222936135802546,0.02308309384588851,,10.793167265010196
8,2,0.010165585481708577,0.019419584605785377,0.0005577815042256962,6.952881253634457
11,2,0.010166881594051488,0.03203527400167355,0.000607516203165126,7.31914079833912
4,1,0.010302934268896611,0.015033952641843125,0.0008348055601696824,3.2868790156146273
1,0,0.010381719468020554,0.019083363411676386,0.0012920147730886011,9.26639198645354
6,0,0.010397593342072518,0.010864694321168183,0.0013143137988382847,7.163411825341114
12,2,0.010357986302588933,0.0037832673448840006,0.0018587081335532663,8.975857015531279
13,2,0.010417609976294168,0.002116524920827787,0.0016045223427669786,3.169727969232815
14,2,0.010402015801514317,0.0025685678189821324,0.0015002415329443686,0.21555372889379643
6,0,0.010502004489438485,-0.016552475697435058,0.0011964644371993405,-3.900451786896242
4,2,0.01050798746905665,-0.026099477325677127,0.0015726741538217848,-3.578334659561102
3,1,0.010444203820194632,-0.022826594733134347,0.0012288807127924795,1.5443332508899874
12,1,0.010460345766280818,-0.01978640362396245,0.0016623741578862816,3.815270358159707
14,0,0.009967337323310116,-6.600292155048947e-05,0.002291561499968786,16.962675009684048
1,1,0.009844399534685935,-0.007356653977313375,0.0021949400680043585,23.235090552878106
4,1,0.009818675066424417,-0.0058884372967705914,0.0020095211346300434,24.47105843803413
9,0,0.009190973099386435,-0.02040228591149601,0.0017820747125276704,30.243240545340715
2,0,0.009223267687940637,-0.0036950378651558046,0.0016587573945099354,32.12543294892537
11,2,0.009230110970697763,0.0029220183212244452,0.0018449422501094492,32.752467075232296
13,2,0.00934972236152022,0.0036637994323779725,0.0014196978984584163,26.817027082607538
14,2,0.009350052562785103,-0.015725006910226023,0.0009058506338472938,26.812051775248758
3,0,0.009008326499521437,-0.023145163686563004,0.0009152578612947604,16.126657078688243
14,0,0.008736287159583252,-0.034462203911490616,0.0009483537804346742,20.75863759156028
3,1,0.008219508499178196,-0.05543875171088966,0.000622711641603102,25.837833865146244
2,0,0.009231017506901907,-0.024506643214294695,0.001245612562744025,36.58008451837871
9,1,0.00934480852271649,-0.03297731834418866,0.0010671893494209606,29.072517003181026
8,1,0.009283172546555472,-0.011338286816551461,0.0011403742013116336,33.86368607349872
4,0,0.009129469528502777,-0.014425562293838956,0.0009844624830477322,29.56739453913465
5,1,0.00938074354997121,-0.03558202103314838,0.00029320842949687176,24.75609820225432
1,1,0.00933483807098999,-0.031677382138820716,-0.0001080537422950556,17.296915115800402
10,0,0.00921800309267187,-0.016114341883585785,-5.38399828781122e-05,12.811173535480199
10,1,0.009966958725750574,-0.040873623671586055,-0.0006478492150809867,2.7322239057482967
1,1,0.009922587062111231,-0.028542199652435547,-0.0006764532661741596,8.80993894976333
13,0,0.00993019861887673,-0.01746916633322035,-0.0006536958440480634,6.415417759633167
1,2,0.009929303510895044,-0.04926247080032928,-0.0006616100772370848,6.325402634701962
12,1,0.010580802089649835,-0.06628257248484012,-0.0012551258891291273,-4.5062516516662035
12,1,0.010987476497087935,-0.047507209233029965,-0.0008448560542361205,4.953026155789576
4,0,0.011089483063525543,-0.03453491981925921,-0.00048439229890662183,6.838388998281415
13,2,0.010934401337865125,-0.005305142994170146,-0.0005067800412833501,4.1277299917133625
12,1,0.010792982412143604,0.0052039113526878705,-0.0005611894484406355,-0.14863246226251675
12,1,0.011195954806386256,-0.019130948186810808,-0.0010632317207909248,-9.198148232130071
4,0,0.01127210169413532,0.020162702320988837,-0.000937929080579436,-5.721391762621495
14,1,0.011477356564271781,0.03239461653017129,-0.000365941804241654,-1.1080176439472031
1,0,0.011480182604224945,0.04060500285521082,-0.0003471326773840655,2.7898901060099273
13,0,0.011762045434430353,0.01805025037212827,-0.0008754818058186453,-6.806877886767418
14,1,0.011810120642019705,0.03683341800995866,-0.0011413685513039784,-12.143708041989077
3,1,0.011816078127980476,0.016717955895384166,-0.001172316356094938,-11.327979562668284
14,0,0.011993642517959409,0.014977912453471468,-0.0007132151183670832,-4.139326763283363
2,2,0.011909966615677777,0.010367422889280825,-0.0005037022584196693,-6.411592339568219
11,1,0.012045710615915488,0.02166564531400085,-0.00036043952107545074,-2.754454303422956
11,1,0.012056696871163609,0.0494873908150107,-0.000567469974475987,-1.8897016510682234
2,2,0.01205240484230783,0.04165155482169073,-0.0005156978971797566,-2.3568469439837494
11,2,0.012009336592685339,0.03165301466542743,-0.00038818803023665804,5.582681163941141
14,2,0.01200415152707815,0.024448010136186447,-0.00016284616851991451,2.9874787603835604
10,1,0.012174432317781642,0.06149825998342842,-3.288656737110429e-05,7.3525644256242115
6,1,0.012198813302880276,0.06396996193134492,-9.00999197503971e-05,2.7382933774024036
14,2,0.012189419909574915,0.06256734347196319,7.773177199688064e-07,1.604729595484649
9,2,0.012147614924923876,0.046550445017276065,0.0001829374970405695,4.615532213594971
6,2,0.012210317956934292,0.028822546637843508,2.5099520291504973e-05,1.5932244888052047
8,2,0.012269334438952426,0.02579142545851117,0.0005053087440265447,3.399867962955279
12,1,0.012264781027290327,0.006451290149162226,0.00010132103254845148,-8.875059203693262
2,2,0.012346927343427627,0.015010907195707536,0.000262904765238936,-4.208491456216442
1,1,0.01243169454194969,-0.00445557232768953,-6.979208131741022e-05,-9.743474294391353
11,0,0.012322713297500884,-0.004857291096192999,-0.00026052060951153866,-5.366843609591612
12,0,0.012238476664635426,-0.0221744260310715,-0.0003366270277951333,-9.9757071403299
8,1,0.012302647110210447,-0.005185951317255922,-7.509146228246166e-05,-4.002977790735721
11,2,0.012351171007452805,-0.015533796447017256,9.980332014603022e-05,-6.508437197113878
11,1,0.012370968327599244,-0.0044737746211077865,0.00016612913080371605,1.8476064059820294
12,0,0.01243943585815062,0.015704392918191187,0.00028960738337646674,7.11027103047301
12,1,0.0123650457622538,0.009238156495419848,0.0006231836776886546,14.231933483954343
12,1,0.012356122412659508,0.02712049760590874,0.0009799553201417233,13.477330267572803
10,2,0.012359300601340908,0.013768291601508453,0.0010143279414331907,11.161360804333533
